Gol,X,Y,Campeonato,subEventoNome,idTime,idJogador,distanciaCentro,distanciaGol,Angulo
0,7,43,Copa do mundo,Shot,10840,79320,7.0,8.644362324659928,0.7201101384716242
1,10,55,Copa do mundo,Shot,16216,29625,5.0,10.991473968490304,0.6210728310993445
0,21,52,Eurocopa,Shot,14358,101707,2.0,22.08828875218721,0.3278840633485634
1,5,46,Copa do mundo,Shot,1598,3563,4.0,5.858540773947041,1.07215014489556
0,16,43,Copa do mundo,Shot,1598,3353,7.0,17.4052434628189,0.4016324095496548
0,6,33,Copa do mundo,Shot,16216,29625,17.0,12.719768079646736,0.3012999905051857
0,11,37,Copa do mundo,Shot,1598,4338,13.0,14.311009747743169,0.415932290325356
0,8,35,Espanhol,Shot,696,134249,15.0,12.86944054728099,0.3838839963626258
0,21,77,Copa do mundo,Shot,16216,32968,27.0,28.181642961332116,0.20384508378694133
0,27,76,Copa do mundo,Shot,1598,3341,26.0,33.005037494297746,0.19053590666850845
0,11,68,Copa do mundo,Shot,1598,3345,18.0,16.440574807469478,0.3179400488056638
0,18,37,Copa do mundo,Shot,1598,3345,13.0,20.702958725747386,0.3216256265342819
0,27,37,Copa do mundo,Shot,1598,3306,13.0,29.582511725680092,0.2363205341625181
0,10,66,Copa do mundo,Shot,16216,221039,16.0,14.778700890132395,0.35868342997638314
1,11,47,Copa do mundo,Shot,16216,447821,3.0,11.713453803212783,0.5991380823077989
1,5,54,Copa do mundo,Shot,1598,3840,4.0,5.858540773947041,1.07215014489556
0,5,70,Copa do mundo,Shot,4418,353833,20.0,14.020074892809953,0.2068089192105259
0,25,36,Copa do mundo,Free kick shot,4418,7936,14.0,27.78259347145259,0.24811656952209515
0,22,50,Copa do mundo,Shot,4418,3682,0.0,23.1,0.31427070504979715
0,18,25,Copa do mundo,Shot,8493,61651,25.0,24.92533851324792,0.22378029756517134
1,10,49,Copa do mundo,Penalty,4418,3682,1.0,10.520099809412457,0.6686847657975241
0,14,47,Copa do mundo,Shot,4418,3682,3.0,14.82877270713932,0.4803789265972236
0,15,56,Copa do mundo,Shot,4418,3682,6.0,16.225674100018157,0.4322830591810525
